,2021-04-01T06:00:00.000000000,2021-04-01T12:00:00.000000000,2021-04-01T18:00:00.000000000,2021-04-02T00:00:00.000000000,2021-04-02T06:00:00.000000000,2021-04-02T12:00:00.000000000,2021-04-02T18:00:00.000000000,2021-04-03T00:00:00.000000000,2021-04-03T06:00:00.000000000,2021-04-03T12:00:00.000000000,2021-04-03T18:00:00.000000000,2021-04-04T00:00:00.000000000
0.0,,,,,,,,,,,,
1.0,,,,,,,,,,,,
2.0,-0.00022655176153437828,-1.4083169574393636e-05,0.00019599489314629773,-8.416244738006519e-05,3.2321661839408166e-05,6.831257662393341e-05,1.9157433016950916e-05,0.00010735777945361974,-9.879631498025255e-06,3.607425458073513e-05,-2.8358849161343392e-05,1.2022257301568995e-05
3.0,-0.00018853431747266618,-0.000177659206680798,0.00020103985514396041,4.512782145381525e-05,-0.00020033145168745568,0.00013389186863851455,0.00021307333088050755,-3.5589855183570044e-05,-0.0001626824068721841,1.366592471729102e-05,0.00014933627809431938,5.494673989588042e-05
5.0,0.00015057178735313468,-8.827106365626685e-06,5.917474530352322e-05,6.883205249941497e-05,1.7260637410081396e-05,-9.644633519351962e-05,3.796353959323206e-05,9.929442094718065e-05,8.954839874859162e-05,-1.3939426312690764e-05,7.628008422778502e-05,3.3493726491439014e-05
7.0,4.613037221686691e-05,6.147576626453787e-05,-2.7287935192127522e-05,4.542389867605203e-05,3.739533673215833e-05,7.881402558250384e-06,-9.142063030706143e-06,5.943439428465013e-05,0.0001351708154023549,-1.717238724999981e-05,4.434914029392273e-05,-2.417351490237726e-06
10.0,4.501087095024506e-05,3.748345860349384e-05,-5.5883834416664256e-05,4.7812388805385974e-05,1.0041587197898633e-05,3.080142290622685e-05,2.300481107422442e-05,4.634597232994991e-06,2.460884776201522e-05,-4.730394583223146e-05,4.00098340043097e-05,5.7284111303645644e-05
15.0,7.343284092875153e-05,8.397928585298514e-05,6.9247734879062755e-06,-5.975221520070685e-06,7.622726650757289e-06,6.4399540108933e-05,5.980732159071175e-05,-1.7282978660246465e-05,-1.402908457431844e-05,-5.155736256697319e-05,-9.85641042368894e-05,-1.5048385631032111e-05
20.0,7.327312689015298e-05,0.00011591334087565888,5.2521765134326564e-05,2.796477377922392e-06,-1.3878227762394275e-05,3.009234553806636e-05,7.054078864063866e-05,3.204596176267257e-05,3.882495674265014e-06,6.487156815899232e-06,-0.00010967659773243462,-6.695977123925897e-05
30.0,9.665003871883075e-05,8.133852586382609e-05,1.1250855722091016e-05,3.8072738872934804e-05,8.714687257257983e-05,-1.858279225852004e-05,-5.926559914528724e-05,8.720294856768097e-06,5.1924297115625234e-05,6.334645609046367e-05,2.7867467799340583e-06,-2.5132792520591114e-05
40.0,0.00011451831395899905,8.980253473302462e-05,-1.908919858822353e-05,-1.950799065821453e-05,0.00012212195415258915,5.607603757997094e-05,-5.559289380813546e-05,-3.045691981815769e-05,7.118813362652332e-05,7.957696329346602e-05,1.6233406857354453e-05,-4.5847485802703644e-05
50.0,0.00011718114386552832,0.00013502268460080023,3.14998419874845e-05,-4.496456481459656e-05,5.555052456202048e-05,0.00012526662397869845,2.4073792652863788e-05,-4.65824598932719e-05,9.416099242053956e-06,9.108896346659746e-05,5.601552066978069e-05,-2.4990634983325408e-05
70.0,2.7705204957953048e-05,7.403226835662006e-05,0.00014473399215179366,4.46421478270698e-05,-3.0214488283586486e-05,7.355396716607873e-05,0.0001225500736959054,1.85236860919275e-05,-3.98883380653678e-05,1.4113169461129235e-05,8.813135927654679e-05,6.952901711247148e-05
100.0,2.8838004930728752e-05,1.5829957652678396e-05,9.294589323219971e-05,0.00011590497536873156,2.008195990778334e-05,-4.947907211414757e-06,5.7498746018945354e-05,6.73944539414746e-05,1.110672229067967e-05,-1.818266767660179e-05,-1.4446394973552481e-05,2.8902779717182176e-05
150.0,4.61881884371337e-05,1.851831043198714e-05,4.0441239169122544e-05,6.227084762910091e-05,5.4321485409756997e-05,1.092213216876734e-05,1.384941338804528e-05,-3.1589904001527966e-07,-2.22045923771314e-05,-4.921244955479935e-05,-3.489694594147278e-05,4.9896417110971466e-05
